0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 500 500 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 500 500 500 500 
0 625 500 500 500 500 
0 625 500 500 500 500 
0 625 500 500 500 250 250 
0 625 500 500 500 250 250 
0 2500 1000 500 500 1000 500 500 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 500 500 1000 
0 625 500 500 500 500 
0 625 500 500 500 250 250 
0 625 500 500 500 500 
0 625 500 500 250 250 500 
0 156.25 250 250 250 250 
0 156.25 250 250 125 125 250 
0 156.25 250 250 125 125 250 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 156.25 250 250 250 125 125 
0 156.25 250 250 250 250 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 156.25 250 125 125 250 250 
0 156.25 250 250 125 125 250 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 156.25 250 250 250 250 
0 156.25 125 125 250 250 250 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 39.0625 125 125 125 125 
0 156.25 250 125 125 250 250 
0 156.25 250 125 125 250 250 
0 156.25 250 250 250 250 
0 625 500 250 250 500 500 
0 625 500 500 500 500 
0 625 250 250 500 500 500 
0 625 500 500 500 500 
0 2500 1000 500 500 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 500 500 1000 500 500 1000 
0 625 250 250 500 500 500 
0 625 250 250 500 500 500 
0 625 500 500 500 500 
0 625 500 500 500 500 
0 2500 500 500 500 500 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
0 2500 1000 1000 1000 1000 
